route_short_name,route_long_name,route_type,route_id,agency_id
,AIRPORTSHUTTLESERVICEDOWN_DTC,3,1691,DTC
,0205(NS)DOWN_DTC,3,1692,DTC
,0236(NS)DOWN_DTC,3,1693,DTC
,0261(NS)DOWN_DTC,3,1694,DTC
,0405(NS)DOWN_DTC,3,1695,DTC
,0419(NS)DOWN_DTC,3,1696,DTC
,0502(NS)DOWN_DTC,3,1697,DTC
,0604(NS)DOWN_DTC,3,1698,DTC
,0729(NS)DOWN_DTC,3,1699,DTC
,0740(NS)DOWN_DTC,3,1700,DTC
,0753(NS)DOWN_DTC,3,1701,DTC
,0901(NS)DOWN_DTC,3,1702,DTC
,0926(NS)DOWN_DTC,3,1703,DTC
,0929(NS)DOWN_DTC,3,1704,DTC
,0943(NS)DOWN_DTC,3,1705,DTC
,0GL-23(NS)DOWN_DTC,3,1706,DTC
,0OMS(-)(NS)DOWN_DTC,3,1707,DTC
,0TMS(-)(NS)DOWN_DTC,3,1708,DTC
,0AIRPORTEXP-4(NS)DOWN_DTC,3,1709,DTC
,EXPRESS-344DOWN_DTC,3,1710,DTC
,EXPRESS-727ADOWN_DTC,3,1711,DTC
,EXPRESS-91DOWN_DTC,3,1712,DTC
,8UP_DTC,3,1713,DTC
,17UP_DTC,3,1714,DTC
,19UP_DTC,3,1715,DTC
,19BUP_DTC,3,1716,DTC
,26UP_DTC,3,1717,DTC
,33UP_DTC,3,1718,DTC
,34UP_DTC,3,1719,DTC
,39AUP_DTC,3,1720,DTC
,47AUP_DTC,3,1721,DTC
,78UP_DTC,3,1722,DTC
,103STLUP_DTC,3,1723,DTC
,105UP_DTC,3,1724,DTC
,106UP_DTC,3,1725,DTC
,108UP_DTC,3,1726,DTC
,109UP_DTC,3,1727,DTC
,112UP_DTC,3,1728,DTC
,113EXTUP_DTC,3,1729,DTC
,114UP_DTC,3,1730,DTC
,114BUP_DTC,3,1731,DTC
,115UP_DTC,3,1732,DTC
,118EXTUP_DTC,3,1733,DTC
,120UP_DTC,3,1734,DTC
,120BUP_DTC,3,1735,DTC
,124UP_DTC,3,1736,DTC
,128UP_DTC,3,1737,DTC
,130UP_DTC,3,1738,DTC
,131UP_DTC,3,1739,DTC
,133UP_DTC,3,1740,DTC
,135UP_DTC,3,1741,DTC
,136UP_DTC,3,1742,DTC
,154UP_DTC,3,1743,DTC
,159UP_DTC,3,1744,DTC
,162UP_DTC,3,1745,DTC
,163UP_DTC,3,1746,DTC
,166UP_DTC,3,1747,DTC
,173UP_DTC,3,1748,DTC
,175UP_DTC,3,1749,DTC
,181AUP_DTC,3,1750,DTC
,184UP_DTC,3,1751,DTC
,185UP_DTC,3,1752,DTC
,188UP_DTC,3,1753,DTC
,191UP_DTC,3,1754,DTC
,192UP_DTC,3,1755,DTC
,193UP_DTC,3,1756,DTC
,211UP_DTC,3,1757,DTC
,211BUP_DTC,3,1758,DTC
,212UP_DTC,3,1759,DTC
,227UP_DTC,3,1760,DTC
,234UP_DTC,3,1761,DTC
,235UP_DTC,3,1762,DTC
,236EXTUP_DTC,3,1763,DTC
,254UP_DTC,3,1764,DTC
,255UP_DTC,3,1765,DTC
,258UP_DTC,3,1766,DTC
,258SPLUP_DTC,3,1767,DTC
,261UP_DTC,3,1768,DTC
,270UP_DTC,3,1769,DTC
,271UP_DTC,3,1770,DTC
,273UP_DTC,3,1771,DTC
,274UP_DTC,3,1772,DTC
,306UP_DTC,3,1773,DTC
,307AUP_DTC,3,1774,DTC
,309UP_DTC,3,1775,DTC
,310UP_DTC,3,1776,DTC
,313UP_DTC,3,1777,DTC
,319UP_DTC,3,1778,DTC
,319AUP_DTC,3,1779,DTC
,347UP_DTC,3,1780,DTC
,348UP_DTC,3,1781,DTC
,355UP_DTC,3,1782,DTC
,374UP_DTC,3,1783,DTC
,375UP_DTC,3,1784,DTC
,378UP_DTC,3,1785,DTC
,390UP_DTC,3,1786,DTC
,391UP_DTC,3,1787,DTC
,398UP_DTC,3,1788,DTC
,402UP_DTC,3,1789,DTC
,403UP_DTC,3,1790,DTC
,405UP_DTC,3,1791,DTC
,405AUP_DTC,3,1792,DTC
,408UP_DTC,3,1793,DTC
,411UP_DTC,3,1794,DTC
,413UP_DTC,3,1795,DTC
,419UP_DTC,3,1796,DTC
,423UP_DTC,3,1797,DTC
,425UP_DTC,3,1798,DTC
,429UP_DTC,3,1799,DTC
,433UP_DTC,3,1800,DTC
,433AUP_DTC,3,1801,DTC
,440AUP_DTC,3,1802,DTC
,445UP_DTC,3,1803,DTC
,447UP_DTC,3,1804,DTC
,448AUP_DTC,3,1805,DTC
,450UP_DTC,3,1806,DTC
,463UP_DTC,3,1807,DTC
,465UP_DTC,3,1808,DTC
,473UP_DTC,3,1809,DTC
,473AUP_DTC,3,1810,DTC
,490UP_DTC,3,1811,DTC
,500UP_DTC,3,1812,DTC
,502UP_DTC,3,1813,DTC
,503UP_DTC,3,1814,DTC
,506UP_DTC,3,1815,DTC
,507UP_DTC,3,1816,DTC
,511UP_DTC,3,1817,DTC
,511AUP_DTC,3,1818,DTC
,512UP_DTC,3,1819,DTC
,516UP_DTC,3,1820,DTC
,520UP_DTC,3,1821,DTC
,521UP_DTC,3,1822,DTC
,522UP_DTC,3,1823,DTC
,522AUP_DTC,3,1824,DTC
,523UP_DTC,3,1825,DTC
,534CUP_DTC,3,1826,DTC
,539UP_DTC,3,1827,DTC
,539AUP_DTC,3,1828,DTC
,542UP_DTC,3,1829,DTC
,548UP_DTC,3,1830,DTC
,567UP_DTC,3,1831,DTC
,578AUP_DTC,3,1832,DTC
,580UP_DTC,3,1833,DTC
,588UP_DTC,3,1834,DTC
,610UP_DTC,3,1835,DTC
,611UP_DTC,3,1836,DTC
,623UP_DTC,3,1837,DTC
,631UP_DTC,3,1838,DTC
,708UP_DTC,3,1839,DTC
,711UP_DTC,3,1840,DTC
,711AUP_DTC,3,1841,DTC
,717AUP_DTC,3,1842,DTC
,717BUP_DTC,3,1843,DTC
,720UP_DTC,3,1844,DTC
,721UP_DTC,3,1845,DTC
,724UP_DTC,3,1846,DTC
,724AUP_DTC,3,1847,DTC
,724CUP_DTC,3,1848,DTC
,724EXTUP_DTC,3,1849,DTC
,725UP_DTC,3,1850,DTC
,740UP_DTC,3,1851,DTC
,753UP_DTC,3,1852,DTC
,761UP_DTC,3,1853,DTC
,764EXTUP_DTC,3,1854,DTC
,770AUP_DTC,3,1855,DTC
,781UP_DTC,3,1856,DTC
,794UP_DTC,3,1857,DTC
,794AUP_DTC,3,1858,DTC
,801UP_DTC,3,1859,DTC
,803UP_DTC,3,1860,DTC
,808UP_DTC,3,1861,DTC
,809UP_DTC,3,1862,DTC
,813UP_DTC,3,1863,DTC
,816UP_DTC,3,1864,DTC
,816AUP_DTC,3,1865,DTC
,817NUP_DTC,3,1866,DTC
,820UP_DTC,3,1867,DTC
,825UP_DTC,3,1868,DTC
,826UP_DTC,3,1869,DTC
,827UP_DTC,3,1870,DTC
,832UP_DTC,3,1871,DTC
,838UP_DTC,3,1872,DTC
,842UP_DTC,3,1873,DTC
,844UP_DTC,3,1874,DTC
,848UP_DTC,3,1875,DTC
,849UP_DTC,3,1876,DTC
,853UP_DTC,3,1877,DTC
,863UP_DTC,3,1878,DTC
,864UP_DTC,3,1879,DTC
,876UP_DTC,3,1880,DTC
,878UP_DTC,3,1881,DTC
,879UP_DTC,3,1882,DTC
,879BUP_DTC,3,1883,DTC
,882UP_DTC,3,1884,DTC
,882AUP_DTC,3,1885,DTC
,883UP_DTC,3,1886,DTC
,894UP_DTC,3,1887,DTC
,910AUP_DTC,3,1888,DTC
,912UP_DTC,3,1889,DTC
,915UP_DTC,3,1890,DTC
,917UP_DTC,3,1891,DTC
,918UP_DTC,3,1892,DTC
,921UP_DTC,3,1893,DTC
,921EXTUP_DTC,3,1894,DTC
,924UP_DTC,3,1895,DTC
,926UP_DTC,3,1896,DTC
,929UP_DTC,3,1897,DTC
,934UP_DTC,3,1898,DTC
,935UP_DTC,3,1899,DTC
,937AUP_DTC,3,1900,DTC
,938BUP_DTC,3,1901,DTC
,943UP_DTC,3,1902,DTC
,947AUP_DTC,3,1903,DTC
,948UP_DTC,3,1904,DTC
,949UP_DTC,3,1905,DTC
,949AUP_DTC,3,1906,DTC
,949EXTUP_DTC,3,1907,DTC
,951UP_DTC,3,1908,DTC
,957UP_DTC,3,1909,DTC
,957AUP_DTC,3,1910,DTC
,962UP_DTC,3,1911,DTC
,963UP_DTC,3,1912,DTC
,966UP_DTC,3,1913,DTC
,966BUP_DTC,3,1914,DTC
,970UP_DTC,3,1915,DTC
,970AUP_DTC,3,1916,DTC
,971UP_DTC,3,1917,DTC
,971AUP_DTC,3,1918,DTC
,972UP_DTC,3,1919,DTC
,972AUP_DTC,3,1920,DTC
,975UP_DTC,3,1921,DTC
,978UP_DTC,3,1922,DTC
,979UP_DTC,3,1923,DTC
,980UP_DTC,3,1924,DTC
,990UP_DTC,3,1925,DTC
,990AUP_DTC,3,1926,DTC
,GL-23UP_DTC,3,1927,DTC
,GL-90UP_DTC,3,1928,DTC
,GL-91UP_DTC,3,1929,DTC
,RL-75UP_DTC,3,1930,DTC
,RL-77AUP_DTC,3,1931,DTC
,8DOWN_DTC,3,1932,DTC
,8ADOWN_DTC,3,1933,DTC
,17DOWN_DTC,3,1934,DTC
,19BDOWN_DTC,3,1935,DTC
,26DOWN_DTC,3,1936,DTC
,33DOWN_DTC,3,1937,DTC
,33ADOWN_DTC,3,1938,DTC
,34DOWN_DTC,3,1939,DTC
,34ADOWN_DTC,3,1940,DTC
,39DOWN_DTC,3,1941,DTC
,39ADOWN_DTC,3,1942,DTC
,47ADOWN_DTC,3,1943,DTC
,73DOWN_DTC,3,1944,DTC
,78DOWN_DTC,3,1945,DTC
,103DOWN_DTC,3,1946,DTC
