route_id,service_id,trip_id,shape_id
1252,1,1252_07_10,
1252,1,1252_07_20,
1252,1,1252_07_30,
1252,1,1252_07_40,
1252,1,1252_07_50,
1252,1,1252_08_00,
1252,1,1252_08_10,
1252,1,1252_08_20,
1252,1,1252_08_30,
1252,1,1252_08_40,
1252,1,1252_08_50,
1252,1,1252_09_00,
1252,1,1252_09_10,
1252,1,1252_09_20,
1252,1,1252_09_30,
1252,1,1252_09_40,
1252,1,1252_09_50,
1252,1,1252_10_00,
1252,1,1252_10_10,
1252,1,1252_10_20,
1252,1,1252_10_30,
1252,1,1252_10_40,
1252,1,1252_10_50,
1252,1,1252_11_00,
1252,1,1252_11_10,
1252,1,1252_11_20,
1252,1,1252_11_30,
1252,1,1252_11_40,
1252,1,1252_11_50,
1252,1,1252_12_00,
1252,1,1252_12_10,
1252,1,1252_12_20,
1252,1,1252_12_30,
1252,1,1252_12_40,
1252,1,1252_12_50,
1252,1,1252_13_00,
1252,1,1252_13_10,
1252,1,1252_13_20,
1252,1,1252_13_30,
1252,1,1252_13_40,
1252,1,1252_13_50,
1252,1,1252_14_00,
1252,1,1252_14_10,
1252,1,1252_14_20,
