bus_number,duty,ot,it,shift
DL1PC9919,761,"09/12/2020, 08:07:42","09/12/2020, 14:51:33",morning
DL1PC7578,RL-77A,"09/12/2020, 06:12:13","12/9/2020, 1:45:22 PM",morning
DL1PC7749,887,"09/12/2020, 05:31:04","12/9/2020, 1:08:41 PM",morning
DL1PC7721,SPECIAL-HIRE,"09/12/2020, 09:19:14","12/9/2020, 4:31:56 PM",morning
DL1PC8826,715,"09/12/2020, 06:39:01","12/9/2020, 1:49:17 PM",morning
DL1PC7717,803,"09/12/2020, 06:08:28","12/9/2020, 1:15:47 PM",morning
DL1PC8702,761,"09/12/2020, 09:09:23","12/9/2020, 4:33:12 PM",morning
DL1PC8800,794,"09/12/2020, 09:09:01","12/9/2020, 4:33:13 PM",morning
DL1PC7808,770A,"09/12/2020, 05:21:47","09/12/2020, 12:20:09",morning
DL1PC7657,722,"09/12/2020, 05:35:01","12/9/2020, 1:27:54 PM",morning
DL1PC7605,770A,"09/12/2020, 07:42:02","09/12/2020, 14:51:14",morning
DL1PC4022,717,"09/12/2020, 07:17:56","12/9/2020, 2:10:57 PM",morning
DL1PC9920,RL77B,"09/12/2020, 07:12:59","12/9/2020, 2:31:38 PM",morning
DL1PC9995,978,"09/12/2020, 07:55:01","12/9/2020, 3:11:25 PM",morning
DL1PC7716,978,"09/12/2020, 05:16:06","09/12/2020, 13:01:15",morning
DL1PC7724,RL-77EXT,"09/12/2020, 06:54:48","12/9/2020, 2:38:47 PM",morning
DL1PC8795,794,"09/12/2020, 05:57:16","09/12/2020, 13:04:30",morning
DL1PC8730,721,"09/12/2020, 05:49:35","12/9/2020, 1:19:21 PM",morning
DL1PC9994,781,"09/12/2020, 09:08:14","12/9/2020, 3:38:10 PM",morning
DL1PC9981,761,"09/12/2020, 05:19:02","09/12/2020, 12:43:01",morning
